ticket_id,Summary,service,entity,team,Work type,work_type_pred,impact_pred,urgency_pred,priority_pred,priority_score,confidence,severity_offset,age_factor,difficulty_factor,combined_offset,age_days,is_resolved,resolution_days,service_is_critical,service_unresolvable,ev_work_type,ev_scope,ev_outage_extent,ev_workaround,ev_regulatory_or_security,ev_deadline_pressure,Priority_original_random,Urgency_original_random,Impact_original_random
T00024,Access requested for Trading Platform,Trading Platform,Germany,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0695,1.0,0.25,0.5599,,0.3412,67.19166666666666,False,,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,lowest
T00025,New license requested for Risk & Compliance Monitoring,Risk & Compliance Monitoring,Switzerland,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.397222222222222,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,low
T00026,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Luxembourg,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,1.5958333333333334,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,low,lowest
T00027,New license requested for Corporate Actions,Corporate Actions,Luxembourg,Securities Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,10.24375,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,lowest
T00028,New license requested for Outlook & Email,Outlook & Email,Luxembourg,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,15.307638888888889,False,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00029,Incorrect incident title for service request in Outlook & Email,Outlook & Email,Nordics,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,4.330555555555556,False,False,Service Request,individual,none,not_applicable,False,none,lowest,medium,low
T00030,Access requested for Securities Settlement,Securities Settlement,Switzerland,Securities Operations,Service Request,Service Request,lowest,lowest,lowest,0.0461,1.0,0.25,0.1452,,0.2192,17.426388888888887,False,,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,high
T00031,Access requested for SimCorp Dimension,SimCorp Dimension,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,10.566666666666666,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,medium
T00032,Email notification received for Emailed Support Tickets,Emailed Support Tickets,France,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,8.645833333333334,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,low,low
T00033,New license requested for Outlook & Email,Outlook & Email,Nordics,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,11.865972222222222,False,False,Service Request,individual,none,not_applicable,False,none,highest,low,lowest
T00034,Access requested for Fund Pricing,Fund Pricing,Germany,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0944,1.0,0.25,1.0,,0.4706,231.26180555555555,False,,True,False,Service Request,individual,none,not_applicable,False,none,lowest,medium,lowest
T00035,Access requested for SharePoint & File Storage,SharePoint & File Storage,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,13.76388888888889,False,False,Service Request,individual,none,not_applicable,False,none,medium,medium,lowest
T00036,General request for NAV Calculation with unclear details,NAV Calculation,Switzerland,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.531944444444445,True,False,Service Request,individual,none,not_applicable,False,none,low,low,high
T00037,General request for Outlook & Email with unclear details,Outlook & Email,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,7.718055555555556,False,False,Service Request,individual,none,not_applicable,False,none,low,high,lowest
T00038,Access removal requested for Portfolio Accounting,Portfolio Accounting,Germany,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0944,1.0,0.25,1.0,,0.4706,187.42430555555555,False,,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00039,Access requested for Trade Matching,Trade Matching,Nordics,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,12.429166666666667,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,lowest
T00040,General request for Identity & Access Management with unclear details,Identity & Access Management,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,20.98472222222222,False,False,Service Request,individual,none,not_applicable,False,none,medium,lowest,low
T00041,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Nordics,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,20.784027777777776,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,high,low
T00042,New license requested for Identity & Access Management,Identity & Access Management,Germany,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,10.020138888888889,False,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00043,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Nordics,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,6.01875,False,True,Incident,external_counterparty,partial_degradation,none,False,none,medium,lowest,lowest
T00044,Access requested for Corporate Actions,Corporate Actions,Switzerland,Securities Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,19.845833333333335,True,False,Service Request,individual,none,not_applicable,False,none,lowest,medium,lowest
T00045,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,4.1375,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,medium,lowest
T00046,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,6.226388888888889,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,lowest,lowest
T00047,Incorrect incident title for service request in Trade Matching,Trade Matching,Nordics,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.724305555555556,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,low
T00048,Access requested for Risk & Compliance Monitoring,Risk & Compliance Monitoring,Switzerland,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,14.834027777777777,True,False,Service Request,individual,none,not_applicable,False,none,high,low,low
T00049,Email notification received for Emailed Support Tickets,Emailed Support Tickets,France,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,20.209722222222222,False,True,Incident,external_counterparty,partial_degradation,none,False,none,high,medium,lowest
T00050,New license requested for Fund Pricing,Fund Pricing,Switzerland,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,20.343055555555555,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00051,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,7.3805555555555555,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,lowest
T00052,Access requested for Identity & Access Management,Identity & Access Management,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,14.455555555555556,False,False,Service Request,individual,none,not_applicable,False,none,low,lowest,lowest
T00053,New license requested for Securities Settlement,Securities Settlement,Nordics,Securities Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,8.389583333333333,True,False,Service Request,individual,none,not_applicable,False,none,lowest,medium,medium
T00054,New license requested for Regulatory Reporting,Regulatory Reporting,France,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,1.4902777777777778,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00055,New license requested for Rimes Data Feed,Rimes Data Feed,Nordics,Market Data Services,Service Request,Service Request,lowest,lowest,lowest,0.0623,1.0,0.25,0.4316,,0.3034,51.797916666666666,False,,True,False,Service Request,individual,none,not_applicable,False,none,medium,high,lowest
T00056,General request for Trade Matching with unclear details,Trade Matching,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.254166666666666,True,False,Service Request,one_entity,none,not_applicable,False,none,lowest,low,medium
T00057,Access removal requested for Rimes Data Feed,Rimes Data Feed,France,Market Data Services,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.422222222222222,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,lowest
T00058,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Germany,Service Desk,Service Request,Incident,high,low,medium,0.5011,1.0,0.3,1.0,,0.5059,204.12569444444443,False,,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,medium,lowest
T00059,New license requested for Cash Management,Cash Management,Luxembourg,Treasury & Cash,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,10.88263888888889,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,low
T00060,Incorrect incident title for service request in NAV Calculation,NAV Calculation,Nordics,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,13.346527777777778,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,lowest
T00061,New license requested for Fund Pricing,Fund Pricing,Switzerland,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,7.275,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,lowest
T00062,Access requested for Trading Platform,Trading Platform,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,1.726388888888889,True,False,Service Request,individual,none,not_applicable,False,none,medium,lowest,lowest
T00063,General request for Tax Reporting with unclear details,Tax Reporting,Nordics,Tax & Reporting,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,16.29861111111111,False,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00064,Access removal requested for Portfolio Accounting,Portfolio Accounting,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,1.0069444444444444,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,low
T00065,New license requested for Trading Platform,Trading Platform,Luxembourg,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.446527777777778,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,lowest
T00066,New license requested for Portfolio Accounting,Portfolio Accounting,Luxembourg,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.739583333333334,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00067,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Germany,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,2.975,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,lowest
T00068,Access requested for Trading Platform,Trading Platform,Nordics,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,1.6409722222222223,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,high
T00069,Access requested for Order Management,Order Management,Luxembourg,Trading Support,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,12.019444444444444,True,False,Service Request,individual,none,not_applicable,False,none,low,high,lowest
T00070,Incorrect incident title for service request in Regulatory Reporting,Regulatory Reporting,Germany,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,15.495138888888889,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,high
T00071,New license requested for Fund Pricing,Fund Pricing,Nordics,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,17.99513888888889,True,False,Service Request,individual,none,not_applicable,False,none,low,low,lowest
T00072,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,20.70486111111111,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,lowest,low
T00073,General request for NAV Calculation with unclear details,NAV Calculation,Luxembourg,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,13.615972222222222,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,medium
T00074,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Germany,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,11.956944444444444,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,low
T00075,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,5.975,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,lowest,lowest
T00076,Access requested for Risk & Compliance Monitoring,Risk & Compliance Monitoring,Nordics,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,14.874305555555555,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,lowest
T00077,New license requested for Cash Management,Cash Management,Nordics,Treasury & Cash,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,18.77638888888889,True,False,Service Request,individual,none,not_applicable,False,none,low,high,lowest
T00078,Access requested for Fund Pricing,Fund Pricing,Nordics,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,20.730555555555554,True,False,Service Request,individual,none,not_applicable,False,none,lowest,high,low
T00079,Access removal requested for Rimes Data Feed,Rimes Data Feed,Germany,Market Data Services,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.863888888888889,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,medium
T00080,General request for Portfolio Accounting with unclear details,Portfolio Accounting,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0767,0.9444,0.25,0.6867,,0.3784,82.40486111111112,False,,True,False,Service Request,one_entity,none,not_applicable,False,none,lowest,medium,lowest
T00081,Access removal requested for Rimes Data Feed,Rimes Data Feed,Luxembourg,Market Data Services,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.863888888888889,True,False,Service Request,individual,none,not_applicable,False,none,low,high,lowest
T00082,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Luxembourg,Service Desk,Service Request,Incident,high,low,medium,0.4501,1.0,0.3,0.0968,,0.2402,11.6125,False,,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,lowest
T00083,New license requested for NAV Calculation,NAV Calculation,Switzerland,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,1.5583333333333333,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00084,Email notification received for Emailed Support Tickets,Emailed Support Tickets,France,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,1.6291666666666667,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,lowest,lowest
T00085,Access removal requested for Order Management,Order Management,Luxembourg,Trading Support,Service Request,Service Request,lowest,lowest,lowest,0.0833,1.0,0.25,0.8035,,0.4128,96.425,False,,True,False,Service Request,individual,none,not_applicable,False,none,high,low,low
T00086,Incorrect incident title for service request in Identity & Access Management,Identity & Access Management,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,12.480555555555556,False,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00087,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Luxembourg,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,13.907638888888888,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,medium
T00088,Access removal requested for Trade Matching,Trade Matching,Germany,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,8.331944444444444,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00089,Email notification received for Emailed Support Tickets,Emailed Support Tickets,France,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,16.450694444444444,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,lowest
T00090,New license requested for Regulatory Reporting,Regulatory Reporting,Germany,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,6.418055555555555,True,False,Service Request,individual,none,not_applicable,False,none,high,low,high
T00091,Access removal requested for SharePoint & File Storage,SharePoint & File Storage,France,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,16.09861111111111,False,False,Service Request,individual,none,not_applicable,False,none,low,low,lowest
T00092,New license requested for Portfolio Accounting,Portfolio Accounting,Nordics,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,18.44375,True,False,Service Request,individual,none,not_applicable,False,none,medium,lowest,lowest
T00093,Email notification received for Emailed Support Tickets,Emailed Support Tickets,France,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,1.9666666666666666,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,low,highest
T00094,New license requested for Trading Platform,Trading Platform,France,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,13.640277777777778,True,False,Service Request,individual,none,not_applicable,False,none,high,low,lowest
T00095,New license requested for CRM & Client Portal,CRM & Client Portal,France,Client Services,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,20.64097222222222,False,False,Service Request,individual,none,not_applicable,False,none,lowest,high,highest
T00096,Incorrect incident title for service request in Regulatory Reporting,Regulatory Reporting,Luxembourg,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,12.206944444444444,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,lowest
T00097,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Germany,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,11.01875,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,lowest,lowest
T00098,Access requested for Cash Management,Cash Management,Switzerland,Treasury & Cash,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,19.46736111111111,True,False,Service Request,individual,none,not_applicable,False,none,low,low,medium
T00099,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Nordics,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,10.825694444444444,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,low,lowest
T00100,Access requested for Outlook & Email,Outlook & Email,Nordics,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,10.927083333333334,False,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00101,Access requested for SharePoint & File Storage,SharePoint & File Storage,Nordics,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,5.13125,False,False,Service Request,individual,none,not_applicable,False,none,lowest,medium,medium
