template,service,n_rows,impact,urgency,priority,priority_score,confidence,scope,outage,workaround,regulatory,deadline,work_type,critical,description
Incident mislabelled as service request in <SVC>,Corporate Actions,75,high,medium,high,0.6379,0.9444,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Corporate Actions, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incident mislabelled as service request in <SVC>,Rimes Data Feed,70,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Rimes Data Feed, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incident mislabelled as service request in <SVC>,Trading Platform,79,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Trading Platform, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,SimCorp Dimension,67,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for SimCorp Dimension is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Securities Settlement,73,high,medium,high,0.6379,0.9444,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Securities Settlement, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Regulatory Reporting,71,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Regulatory Reporting is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,NAV Calculation,70,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for NAV Calculation is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,NAV Calculation,66,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against NAV Calculation, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Fund Pricing,82,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Fund Pricing is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Cash Management,85,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Cash Management, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Trade Matching,70,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Trade Matching is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,Risk & Compliance Monitoring,77,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Risk & Compliance Monitoring is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,Corporate Actions,75,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Corporate Actions is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Portfolio Accounting,71,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Portfolio Accounting, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Rimes Data Feed,65,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Rimes Data Feed is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,Cash Management,81,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Cash Management is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,Securities Settlement,100,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Securities Settlement is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Order Management,92,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Order Management, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incident mislabelled as service request in <SVC>,SimCorp Dimension,66,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against SimCorp Dimension, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Client Reporting,86,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Client Reporting is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Client Reporting,77,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Client Reporting, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Order Management,73,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Order Management is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Fund Pricing,82,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Fund Pricing, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Trading Platform,75,high,medium,high,0.6379,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Trading Platform is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
External email warning received for <SVC>,Emailed Support Tickets,4212,high,low,medium,0.4447,1.0,external_counterparty,partial_degradation,none,False,none,Incident,False,"A third party sent a warning regarding Emailed Support Tickets. The email references a delayed feed, unusual error output or degraded service performance, but the details are generic and need triage. Please confirm the operational impact and route the issue to the correct owner."
Email notification received for <SVC>,Emailed Support Tickets,1211,high,low,medium,0.4447,1.0,external_counterparty,partial_degradation,none,False,none,Incident,False,"An external party sent an email warning related to Emailed Support Tickets. The message references degraded service quality, a delayed feed, or a possible outage. The content is generic and needs triage to determine whether the issue affects the supported service and which team should act."
Operational issue reported for <SVC>,CRM & Client Portal,69,medium,low,low,0.2726,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"A user reported an operational disruption in CRM & Client Portal. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Automated alert triggered for <SVC>,SharePoint & File Storage,393,medium,low,low,0.2705,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"SharePoint & File Storage generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Identity & Access Management,369,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"Identity & Access Management generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,CRM & Client Portal,381,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"CRM & Client Portal generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Tax Reporting,390,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"Tax Reporting generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Outlook & Email,414,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"Outlook & Email generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Operational issue reported for <SVC>,Tax Reporting,67,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"A user reported an operational disruption in Tax Reporting. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,SharePoint & File Storage,63,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"A user reported an operational disruption in SharePoint & File Storage. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Outlook & Email,74,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"A user reported an operational disruption in Outlook & Email. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Identity & Access Management,83,medium,low,low,0.2311,1.0,one_entity,partial_degradation,none,False,none,Incident,False,"A user reported an operational disruption in Identity & Access Management. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Incident mislabelled as service request in <SVC>,Identity & Access Management,79,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"This issue was raised against Identity & Access Management, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Outlook & Email,79,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"The incident note for Outlook & Email is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Outlook & Email,84,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"This issue was raised against Outlook & Email, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incident mislabelled as service request in <SVC>,CRM & Client Portal,65,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"This issue was raised against CRM & Client Portal, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Identity & Access Management,89,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"The incident note for Identity & Access Management is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,Tax Reporting,66,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"The incident note for Tax Reporting is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Unclear incident input for <SVC>,SharePoint & File Storage,81,medium,low,low,0.204,0.9444,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"The incident note for SharePoint & File Storage is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,SharePoint & File Storage,70,medium,low,low,0.204,0.9444,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"This issue was raised against SharePoint & File Storage, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,CRM & Client Portal,98,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"The incident note for CRM & Client Portal is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Incident mislabelled as service request in <SVC>,Tax Reporting,76,medium,low,low,0.204,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,False,"This issue was raised against Tax Reporting, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incorrect incident title for service request in <SVC>,Client Reporting,16,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Client Reporting, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access removal requested for <SVC>,SimCorp Dimension,24,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to SimCorp Dimension following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
General request for <SVC> with unclear details,Client Reporting,15,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Client Reporting is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Access requested for <SVC>,Client Reporting,32,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Client Reporting to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
New license requested for <SVC>,Order Management,38,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Order Management to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
General request for <SVC> with unclear details,Rimes Data Feed,26,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,The ticket text for Rimes Data Feed is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,27,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Risk & Compliance Monitoring, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access requested for <SVC>,Fund Pricing,35,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Fund Pricing to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Access removal requested for <SVC>,Portfolio Accounting,26,lowest,lowest,lowest,0.0944,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Portfolio Accounting following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access removal requested for <SVC>,Order Management,22,lowest,lowest,lowest,0.0833,1.0,individual,none,not_applicable,False,none,Service Request,True,"The request is to remove access to Order Management following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
Access requested for <SVC>,Portfolio Accounting,37,lowest,lowest,lowest,0.0777,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Portfolio Accounting to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
General request for <SVC> with unclear details,Portfolio Accounting,24,lowest,lowest,lowest,0.0767,0.9444,one_entity,none,not_applicable,False,none,Service Request,True,The ticket text for Portfolio Accounting is unclear and not aligned with the expected service request pattern. The message appears incomplete or misrouted and requires review to determine whether it should be rejected or redirected.
Incorrect incident title for service request in <SVC>,Securities Settlement,25,lowest,lowest,lowest,0.0738,0.9444,one_entity,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Securities Settlement, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access requested for <SVC>,Trading Platform,43,lowest,lowest,lowest,0.0695,1.0,individual,none,not_applicable,False,none,Service Request,True,A user needs access to Trading Platform to complete their daily tasks. This request is for standard role-based access and is aligned to the employee's business duties. Please validate the access profile and ensure the user receives the correct permissions in line with policy.
Incorrect incident title for service request in <SVC>,Rimes Data Feed,20,lowest,lowest,lowest,0.064,1.0,individual,none,not_applicable,False,none,Service Request,True,"The submitted title suggests an incident affecting Rimes Data Feed, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
New license requested for <SVC>,Rimes Data Feed,36,lowest,lowest,lowest,0.0623,1.0,individual,none,not_applicable,False,none,Service Request,True,A new user requires a license for Rimes Data Feed to support an operational activity. The request includes the relevant user details and justification and needs validation before the entitlement is assigned.
Incorrect incident title for service request in <SVC>,CRM & Client Portal,17,lowest,lowest,lowest,0.0605,1.0,individual,none,not_applicable,False,none,Service Request,False,"The submitted title suggests an incident affecting CRM & Client Portal, but the actual request is a regular service inquiry. Please confirm the correct handling path and classify the request as a service request instead of an operational incident."
Access removal requested for <SVC>,CRM & Client Portal,20,lowest,lowest,lowest,0.0605,1.0,individual,none,not_applicable,False,none,Service Request,False,"The request is to remove access to CRM & Client Portal following a role change or contract end. Please confirm all permissions, inherited groups, and temporary rights are removed so no user remains active beyond the agreed period."
