template,service,entity,Work type,team,rep_ticket_id,tie_group_size,n_with_resolution,service_is_critical,rep_ticket_id_alt,signature_id
General request for <SVC> with unclear details,Risk & Compliance Monitoring,Switzerland,Service Request,Risk & Controls,T00775,4,1,True,T01236,119
General request for <SVC> with unclear details,Trade Matching,Germany,Service Request,Investment Operations,T00783,5,2,True,T01777,120
General request for <SVC> with unclear details,CRM & Client Portal,France,Service Request,Client Services,T00796,5,1,False,T00983,121
Incorrect incident title for service request in <SVC>,Trading Platform,Switzerland,Service Request,Investment Operations,T00813,7,1,True,T00483,122
New license requested for <SVC>,Client Reporting,Luxembourg,Service Request,Client Services,T00823,11,4,True,T01203,123
Incorrect incident title for service request in <SVC>,Rimes Data Feed,Luxembourg,Service Request,Market Data Services,T00827,4,3,True,T01092,124
New license requested for <SVC>,Tax Reporting,France,Service Request,Tax & Reporting,T00842,6,4,False,T01369,125
General request for <SVC> with unclear details,SimCorp Dimension,Luxembourg,Service Request,Enterprise Applications,T00847,4,1,True,T00247,126
General request for <SVC> with unclear details,SharePoint & File Storage,France,Service Request,Enterprise Applications,T00862,3,1,False,T03434,127
Access removal requested for <SVC>,Fund Pricing,France,Service Request,Valuation & Pricing,T00863,6,1,True,T00632,128
Incorrect incident title for service request in <SVC>,Client Reporting,France,Service Request,Client Services,T00870,5,3,True,T01185,129
Access requested for <SVC>,Order Management,Luxembourg,Service Request,Trading Support,T00874,12,1,True,T00023,130
Access requested for <SVC>,Outlook & Email,Germany,Service Request,Enterprise Applications,T00875,7,2,False,T02971,131
Access requested for <SVC>,Rimes Data Feed,Luxembourg,Service Request,Market Data Services,T00879,9,3,True,T00935,132
Access requested for <SVC>,Securities Settlement,Nordics,Service Request,Securities Operations,T00880,8,1,True,T00387,133
Access requested for <SVC>,SharePoint & File Storage,Luxembourg,Service Request,Enterprise Applications,T00886,14,5,False,T01196,134
Incorrect incident title for service request in <SVC>,CRM & Client Portal,Switzerland,Service Request,Client Services,T00900,4,1,False,T00654,135
New license requested for <SVC>,Corporate Actions,Switzerland,Service Request,Securities Operations,T00907,7,3,True,T01198,136
General request for <SVC> with unclear details,CRM & Client Portal,Switzerland,Service Request,Client Services,T00919,4,1,False,T00979,137
Access removal requested for <SVC>,Tax Reporting,France,Service Request,Tax & Reporting,T00939,6,3,False,T01173,138
General request for <SVC> with unclear details,Corporate Actions,Switzerland,Service Request,Securities Operations,T00943,6,3,True,T02653,139
Access requested for <SVC>,Client Reporting,Germany,Service Request,Client Services,T00953,8,1,True,T00730,140
New license requested for <SVC>,Order Management,Switzerland,Service Request,Trading Support,T00968,9,1,True,T00169,141
Access requested for <SVC>,Corporate Actions,Nordics,Service Request,Securities Operations,T00973,8,1,True,T00581,142
Access removal requested for <SVC>,CRM & Client Portal,France,Service Request,Client Services,T00977,1,1,False,,143
General request for <SVC> with unclear details,Cash Management,Switzerland,Service Request,Treasury & Cash,T00995,2,1,True,T03673,144
General request for <SVC> with unclear details,Trading Platform,Nordics,Service Request,Investment Operations,T01001,5,1,True,T01060,145
Incorrect incident title for service request in <SVC>,Regulatory Reporting,Switzerland,Service Request,Risk & Controls,T01017,4,2,True,T03964,146
Access removal requested for <SVC>,Order Management,Luxembourg,Service Request,Trading Support,T01018,8,4,True,T01085,147
New license requested for <SVC>,Identity & Access Management,Switzerland,Service Request,Enterprise Applications,T01021,7,4,False,T01912,148
Access requested for <SVC>,Cash Management,Nordics,Service Request,Treasury & Cash,T01031,9,2,True,T01220,149
New license requested for <SVC>,Corporate Actions,Nordics,Service Request,Securities Operations,T01033,12,4,True,T01269,150
Access requested for <SVC>,Corporate Actions,Switzerland,Service Request,Securities Operations,T01040,8,3,True,T02169,151
Access removal requested for <SVC>,SimCorp Dimension,Switzerland,Service Request,Enterprise Applications,T01049,6,1,True,T00463,152
Access removal requested for <SVC>,Corporate Actions,Switzerland,Service Request,Securities Operations,T01076,6,1,True,T01668,153
New license requested for <SVC>,Client Reporting,France,Service Request,Client Services,T01082,11,2,True,T01722,154
Access removal requested for <SVC>,SimCorp Dimension,Germany,Service Request,Enterprise Applications,T01099,6,1,True,T01875,155
New license requested for <SVC>,Portfolio Accounting,Nordics,Service Request,Investment Operations,T01105,7,2,True,T03646,156
Access requested for <SVC>,NAV Calculation,Nordics,Service Request,Valuation & Pricing,T01107,5,1,True,T00932,157
Incorrect incident title for service request in <SVC>,Order Management,Germany,Service Request,Trading Support,T01125,4,2,True,T03816,158
New license requested for <SVC>,Securities Settlement,Germany,Service Request,Securities Operations,T01128,7,1,True,T00914,159
Access requested for <SVC>,Client Reporting,Luxembourg,Service Request,Client Services,T01134,12,3,True,T02155,160
New license requested for <SVC>,Trade Matching,France,Service Request,Investment Operations,T01146,8,3,True,T02253,161
General request for <SVC> with unclear details,Securities Settlement,Switzerland,Service Request,Securities Operations,T01227,5,3,True,T02733,162
Access removal requested for <SVC>,Portfolio Accounting,Nordics,Service Request,Investment Operations,T01229,6,2,True,T01716,163
Incorrect incident title for service request in <SVC>,CRM & Client Portal,Nordics,Service Request,Client Services,T01237,5,1,False,T00778,164
New license requested for <SVC>,Portfolio Accounting,France,Service Request,Investment Operations,T01245,9,2,True,T02988,165
Access removal requested for <SVC>,Fund Pricing,Luxembourg,Service Request,Valuation & Pricing,T01279,5,1,True,T00846,166
Access removal requested for <SVC>,Securities Settlement,Switzerland,Service Request,Securities Operations,T01280,6,3,True,T02619,167
Access removal requested for <SVC>,NAV Calculation,Luxembourg,Service Request,Valuation & Pricing,T01283,4,1,True,T00693,168
Access requested for <SVC>,Risk & Compliance Monitoring,Switzerland,Service Request,Risk & Controls,T01293,12,4,True,T01746,169
New license requested for <SVC>,Trade Matching,Germany,Service Request,Investment Operations,T01295,12,5,True,T01954,170
Access requested for <SVC>,Outlook & Email,Luxembourg,Service Request,Enterprise Applications,T01303,14,3,False,T02665,171
Access requested for <SVC>,Corporate Actions,Germany,Service Request,Securities Operations,T01317,6,2,True,T02817,172
New license requested for <SVC>,SharePoint & File Storage,France,Service Request,Enterprise Applications,T01342,5,3,False,T01413,173
General request for <SVC> with unclear details,Fund Pricing,Switzerland,Service Request,Valuation & Pricing,T01350,3,1,True,T00564,174
Incorrect incident title for service request in <SVC>,Portfolio Accounting,Germany,Service Request,Investment Operations,T01351,4,1,True,T01621,175
New license requested for <SVC>,SharePoint & File Storage,Nordics,Service Request,Enterprise Applications,T01358,11,3,False,T01771,176
General request for <SVC> with unclear details,NAV Calculation,Nordics,Service Request,Valuation & Pricing,T01361,4,3,True,T02564,177
Access removal requested for <SVC>,Tax Reporting,Nordics,Service Request,Tax & Reporting,T01375,5,2,False,T03847,178
New license requested for <SVC>,Fund Pricing,France,Service Request,Valuation & Pricing,T01376,7,2,True,T02443,179
New license requested for <SVC>,Trade Matching,Luxembourg,Service Request,Investment Operations,T01395,13,2,True,T03426,180
Access requested for <SVC>,Rimes Data Feed,France,Service Request,Market Data Services,T01398,14,4,True,T02124,181
New license requested for <SVC>,Corporate Actions,France,Service Request,Securities Operations,T01436,9,2,True,T01780,182
Incorrect incident title for service request in <SVC>,NAV Calculation,Switzerland,Service Request,Valuation & Pricing,T01437,4,1,True,T00780,183
General request for <SVC> with unclear details,Risk & Compliance Monitoring,France,Service Request,Risk & Controls,T01443,5,1,True,T00663,184
New license requested for <SVC>,Rimes Data Feed,Switzerland,Service Request,Market Data Services,T01445,9,1,True,T01504,185
New license requested for <SVC>,Securities Settlement,Luxembourg,Service Request,Securities Operations,T01455,14,2,True,T01988,186
New license requested for <SVC>,Rimes Data Feed,Nordics,Service Request,Market Data Services,T01475,10,1,True,T00055,187
Access requested for <SVC>,Fund Pricing,Nordics,Service Request,Valuation & Pricing,T01479,9,2,True,T03326,188
Access removal requested for <SVC>,SimCorp Dimension,Luxembourg,Service Request,Enterprise Applications,T01481,6,1,True,T01792,189
New license requested for <SVC>,NAV Calculation,Germany,Service Request,Valuation & Pricing,T01486,8,3,True,T01717,190
New license requested for <SVC>,Client Reporting,Nordics,Service Request,Client Services,T01492,6,2,True,T02537,191
General request for <SVC> with unclear details,Portfolio Accounting,France,Service Request,Investment Operations,T01499,4,1,True,T00841,192
Incorrect incident title for service request in <SVC>,Rimes Data Feed,France,Service Request,Market Data Services,T01513,6,2,True,T03447,193
Access requested for <SVC>,Tax Reporting,Nordics,Service Request,Tax & Reporting,T01515,5,2,False,T03644,194
New license requested for <SVC>,Corporate Actions,Luxembourg,Service Request,Securities Operations,T01519,18,2,True,T03667,195
Access removal requested for <SVC>,Trading Platform,Luxembourg,Service Request,Investment Operations,T01524,5,4,True,T01937,196
Incorrect incident title for service request in <SVC>,Tax Reporting,France,Service Request,Tax & Reporting,T01542,8,2,False,T02800,197
Access removal requested for <SVC>,Client Reporting,France,Service Request,Client Services,T01545,6,2,True,T02009,198
Incorrect incident title for service request in <SVC>,Securities Settlement,France,Service Request,Securities Operations,T01565,6,2,True,T02902,199
Access requested for <SVC>,Client Reporting,Switzerland,Service Request,Client Services,T01566,4,2,True,T03593,200
General request for <SVC> with unclear details,SimCorp Dimension,Nordics,Service Request,Enterprise Applications,T01567,5,2,True,T03807,201
New license requested for <SVC>,Securities Settlement,Nordics,Service Request,Securities Operations,T01569,12,4,True,T02513,202
New license requested for <SVC>,Portfolio Accounting,Luxembourg,Service Request,Investment Operations,T01572,8,1,True,T00066,203
New license requested for <SVC>,Client Reporting,Germany,Service Request,Client Services,T01577,9,1,True,T00358,204
Access requested for <SVC>,Securities Settlement,Switzerland,Service Request,Securities Operations,T01583,9,2,True,T03010,205
General request for <SVC> with unclear details,Corporate Actions,France,Service Request,Securities Operations,T01588,3,1,True,T01329,206
Access requested for <SVC>,Order Management,Germany,Service Request,Trading Support,T01602,2,1,True,T00304,207
New license requested for <SVC>,Outlook & Email,Switzerland,Service Request,Enterprise Applications,T01607,10,3,False,T02217,208
Access removal requested for <SVC>,Securities Settlement,France,Service Request,Securities Operations,T01648,3,1,True,T00765,209
Access requested for <SVC>,NAV Calculation,Luxembourg,Service Request,Valuation & Pricing,T01651,6,2,True,T02309,210
Access removal requested for <SVC>,Corporate Actions,France,Service Request,Securities Operations,T01657,6,1,True,T00377,211
Incorrect incident title for service request in <SVC>,Rimes Data Feed,Germany,Service Request,Market Data Services,T01660,5,1,True,T01034,212
Access removal requested for <SVC>,Identity & Access Management,Nordics,Service Request,Enterprise Applications,T01664,8,2,False,T02477,213
General request for <SVC> with unclear details,Portfolio Accounting,Germany,Service Request,Investment Operations,T01667,9,1,True,T00270,214
Incorrect incident title for service request in <SVC>,SharePoint & File Storage,Luxembourg,Service Request,Enterprise Applications,T01669,5,1,False,T00574,215
General request for <SVC> with unclear details,SharePoint & File Storage,Nordics,Service Request,Enterprise Applications,T01671,5,3,False,T01825,216
Access requested for <SVC>,Fund Pricing,Germany,Service Request,Valuation & Pricing,T01684,8,2,True,T02388,217
Access requested for <SVC>,Portfolio Accounting,Germany,Service Request,Investment Operations,T01689,7,2,True,T03199,218
Access requested for <SVC>,Cash Management,Switzerland,Service Request,Treasury & Cash,T01690,7,1,True,T00010,219
New license requested for <SVC>,Regulatory Reporting,Switzerland,Service Request,Risk & Controls,T01694,7,1,True,T00305,220
New license requested for <SVC>,SimCorp Dimension,Switzerland,Service Request,Enterprise Applications,T01725,13,3,True,T02651,221
General request for <SVC> with unclear details,SimCorp Dimension,Germany,Service Request,Enterprise Applications,T01734,6,2,True,T03592,222
Access requested for <SVC>,Identity & Access Management,Switzerland,Service Request,Enterprise Applications,T01749,14,2,False,T02312,223
Incorrect incident title for service request in <SVC>,Cash Management,France,Service Request,Treasury & Cash,T01755,6,2,True,T03396,224
Access requested for <SVC>,Regulatory Reporting,Luxembourg,Service Request,Risk & Controls,T01778,8,2,True,T03721,225
New license requested for <SVC>,Client Reporting,Switzerland,Service Request,Client Services,T01798,7,2,True,T02581,226
Incorrect incident title for service request in <SVC>,Corporate Actions,Germany,Service Request,Securities Operations,T01843,2,1,True,T02796,227
Incorrect incident title for service request in <SVC>,Fund Pricing,France,Service Request,Valuation & Pricing,T01856,4,1,True,T02200,228
Access removal requested for <SVC>,NAV Calculation,Nordics,Service Request,Valuation & Pricing,T01857,4,1,True,T00803,229
Access removal requested for <SVC>,NAV Calculation,France,Service Request,Valuation & Pricing,T01882,1,1,True,,230
New license requested for <SVC>,NAV Calculation,Luxembourg,Service Request,Valuation & Pricing,T01895,9,1,True,T00321,231
Access removal requested for <SVC>,Rimes Data Feed,Switzerland,Service Request,Market Data Services,T01896,2,1,True,T03183,232
Access requested for <SVC>,Tax Reporting,Germany,Service Request,Tax & Reporting,T01911,5,3,False,T03382,233
Access requested for <SVC>,SimCorp Dimension,France,Service Request,Enterprise Applications,T01920,8,2,True,T03555,234
Access removal requested for <SVC>,Rimes Data Feed,Nordics,Service Request,Market Data Services,T01923,6,1,True,T00854,235
Access requested for <SVC>,Risk & Compliance Monitoring,Germany,Service Request,Risk & Controls,T01924,13,4,True,T02856,236
Access requested for <SVC>,Identity & Access Management,Luxembourg,Service Request,Enterprise Applications,T01925,8,1,False,T00314,237
Access removal requested for <SVC>,Order Management,Nordics,Service Request,Trading Support,T01932,2,2,True,T02245,238
New license requested for <SVC>,CRM & Client Portal,France,Service Request,Client Services,T01958,10,1,False,T00095,239
Access removal requested for <SVC>,Securities Settlement,Germany,Service Request,Securities Operations,T01972,1,1,True,,240
Access requested for <SVC>,Regulatory Reporting,Switzerland,Service Request,Risk & Controls,T02007,9,3,True,T02156,241
New license requested for <SVC>,Order Management,Nordics,Service Request,Trading Support,T02008,7,1,True,T00278,242
Incorrect incident title for service request in <SVC>,Risk & Compliance Monitoring,Germany,Service Request,Risk & Controls,T02010,4,1,True,T00175,243
General request for <SVC> with unclear details,Client Reporting,Luxembourg,Service Request,Client Services,T02013,5,1,True,T01188,244
General request for <SVC> with unclear details,Order Management,France,Service Request,Trading Support,T02015,3,1,True,T00631,245
Access requested for <SVC>,Trading Platform,France,Service Request,Investment Operations,T02021,5,2,True,T03533,246
General request for <SVC> with unclear details,Risk & Compliance Monitoring,Germany,Service Request,Risk & Controls,T02025,4,2,True,T02500,247
Access removal requested for <SVC>,Rimes Data Feed,Luxembourg,Service Request,Market Data Services,T02028,7,1,True,T00081,248
Access removal requested for <SVC>,SharePoint & File Storage,Luxembourg,Service Request,Enterprise Applications,T02031,6,2,False,T02966,249
Access removal requested for <SVC>,Tax Reporting,Germany,Service Request,Tax & Reporting,T02033,5,1,False,T00323,250
General request for <SVC> with unclear details,Cash Management,Luxembourg,Service Request,Treasury & Cash,T02039,7,2,True,T02533,251
