ticket_id,signature_id,rank,neighbour_ticket_id,similarity,neighbour_tie_group_size,neighbour_n_with_resolution
T00018,300,8,T03777,0.6736,4,2
T00018,300,9,T00863,0.6736,6,1
T00018,300,10,T01279,0.6736,5,1
T00019,16,1,T00067,1.0,227,49
T00019,16,2,T00026,0.95,250,67
T00019,16,3,T00049,0.95,238,62
T00019,16,4,T00099,0.95,269,57
T00019,16,5,T00261,0.95,227,56
T00019,16,6,T04093,0.5364,873,209
T00019,16,7,T04052,0.4864,892,211
T00019,16,8,T04144,0.4864,820,183
T00019,16,9,T04035,0.4864,805,206
T00019,16,10,T04072,0.4864,822,196
T00020,3,1,T01145,1.0,5,2
T00020,3,2,T01817,0.95,2,0
T00020,3,3,T00919,0.95,4,1
T00020,3,4,T00796,0.95,5,1
T00020,3,5,T03655,0.95,6,1
T00020,3,6,T02013,0.6505,5,1
T00020,3,7,T00520,0.6228,12,3
T00020,3,8,T03449,0.6098,5,1
T00020,3,9,T01168,0.604,2,0
T00020,3,10,T00223,0.6037,8,2
T00021,5,1,T00026,1.0,250,67
T00021,5,2,T00067,0.95,227,49
T00021,5,3,T00049,0.95,238,62
T00021,5,4,T00261,0.95,227,56
T00021,5,5,T00099,0.95,269,57
T00021,5,6,T04035,0.5364,805,206
T00021,5,7,T04144,0.4864,820,183
T00021,5,8,T04052,0.4864,892,211
T00021,5,9,T04072,0.4864,822,196
T00021,5,10,T04093,0.4864,873,209
T00022,5,1,T00026,1.0,250,67
T00022,5,2,T00067,0.95,227,49
T00022,5,3,T00049,0.95,238,62
T00022,5,4,T00261,0.95,227,56
T00022,5,5,T00099,0.95,269,57
T00022,5,6,T04035,0.5364,805,206
T00022,5,7,T04144,0.4864,820,183
T00022,5,8,T04052,0.4864,892,211
T00022,5,9,T04072,0.4864,822,196
T00022,5,10,T04093,0.4864,873,209
T00023,130,1,T00874,1.0,12,1
T00023,130,2,T03297,0.95,8,3
T00023,130,3,T03882,0.95,5,1
T00023,130,4,T01232,0.95,4,0
T00023,130,5,T01602,0.95,2,1
T00023,130,6,T02415,0.6696,10,3
T00023,130,7,T01134,0.647,12,3
T00023,130,8,T01778,0.6447,8,2
T00023,130,9,T01340,0.6385,3,0
T00023,130,10,T02372,0.6385,8,1
T00024,299,1,T02825,1.0,8,2
T00024,299,2,T00068,0.95,12,8
T00024,299,3,T00577,0.95,9,3
T00024,299,4,T00361,0.95,9,5
T00024,299,5,T02021,0.95,5,2
T00024,299,6,T03224,0.7321,9,2
T00024,299,7,T01689,0.7321,7,2
T00024,299,8,T00039,0.6821,11,4
T00024,299,9,T00359,0.6821,8,2
T00024,299,10,T02372,0.6821,8,1
T00025,4,1,T00531,1.0,5,2
T00025,4,2,T00473,0.95,10,4
T00025,4,3,T00499,0.95,7,0
T00025,4,4,T02578,0.95,8,1
T00025,4,5,T00268,0.95,8,2
T00025,4,6,T01694,0.6994,7,1
T00025,4,7,T00348,0.6494,9,2
T00025,4,8,T00374,0.6494,9,5
T00025,4,9,T00090,0.6494,7,3
T00025,4,10,T02086,0.6494,12,1
T00026,5,1,T00166,1.0,250,67
T00026,5,2,T00067,0.95,227,49
T00026,5,3,T00049,0.95,238,62
T00026,5,4,T00261,0.95,227,56
T00026,5,5,T00099,0.95,269,57
T00026,5,6,T04035,0.5364,805,206
T00026,5,7,T04144,0.4864,820,183
T00026,5,8,T04052,0.4864,892,211
T00026,5,9,T04072,0.4864,822,196
T00026,5,10,T04093,0.4864,873,209
T00027,195,1,T01519,1.0,18,2
T00027,195,2,T00415,0.95,12,1
T00027,195,3,T00907,0.95,7,3
T00027,195,4,T01033,0.95,12,4
T00027,195,5,T01436,0.95,9,2
T00027,195,6,T01455,0.7029,14,2
T00027,195,7,T00275,0.6529,4,2
T00027,195,8,T00205,0.6529,13,3
T00027,195,9,T01569,0.6529,12,4
T00027,195,10,T01128,0.6529,7,1
T00028,288,1,T02670,1.0,11,1
T00028,288,2,T00033,0.95,7,1
T00028,288,3,T02809,0.95,11,6
T00028,288,4,T00426,0.95,9,5
T00028,288,5,T01607,0.95,10,3
T00028,288,6,T03725,0.7007,7,1
T00028,288,7,T02142,0.6905,10,1
T00028,288,8,T00801,0.6507,7,0
T00028,288,9,T00709,0.6507,10,3
T00028,288,10,T00322,0.6507,2,1
T00029,6,1,T01824,1.0,3,1
T00029,6,2,T00171,0.95,9,3
T00029,6,3,T00700,0.95,4,0
T00029,6,4,T01795,0.95,4,0
T00029,6,5,T00593,0.95,3,0
T00029,6,6,T00820,0.7125,3,0
T00029,6,7,T00355,0.7029,3,1
T00029,6,8,T00279,0.6625,4,1
T00029,6,9,T02441,0.6625,4,1
T00029,6,10,T02270,0.6625,3,0
T00030,205,1,T01583,1.0,9,2
T00030,205,2,T02881,0.95,4,2
T00030,205,3,T00197,0.95,14,3
T00030,205,4,T00880,0.95,8,1
T00030,205,5,T00199,0.95,12,3
T00030,205,6,T01040,0.7323,8,3
T00030,205,7,T00973,0.6823,8,1
T00030,205,8,T01340,0.6823,3,0
T00030,205,9,T01317,0.6823,6,2
T00030,205,10,T00383,0.6823,8,0
T00031,7,1,T01170,1.0,8,3
T00031,7,2,T00433,0.95,11,4
T00031,7,3,T00004,0.95,6,2
T00031,7,4,T00370,0.95,6,0
T00031,7,5,T01920,0.95,8,2
T00031,7,6,T00839,0.6579,6,0
T00031,7,7,T01749,0.6573,14,2
T00031,7,8,T00035,0.6454,7,2
T00031,7,9,T01566,0.6407,4,2
T00031,7,10,T01232,0.6385,4,0
T00032,12,1,T00049,1.0,238,62
T00032,12,2,T00067,0.95,227,49
T00032,12,3,T00099,0.95,269,57
T00032,12,4,T00026,0.95,250,67
T00032,12,5,T00261,0.95,227,56
T00032,12,6,T04072,0.5364,822,196
T00032,12,7,T04052,0.4864,892,211
T00032,12,8,T04035,0.4864,805,206
T00032,12,9,T04144,0.4864,820,183
T00032,12,10,T04093,0.4864,873,209
T00033,8,1,T00211,1.0,7,1
T00033,8,2,T00426,0.95,9,5
T00033,8,3,T02670,0.95,11,1
T00033,8,4,T02809,0.95,11,6
T00033,8,5,T01607,0.95,10,3
T00033,8,6,T00801,0.7007,7,0
T00033,8,7,T01358,0.6905,11,3
T00033,8,8,T03725,0.6507,7,1
T00033,8,9,T00709,0.6507,10,3
T00033,8,10,T01021,0.6507,7,4
T00034,217,1,T01684,1.0,8,2
T00034,217,2,T00556,0.95,9,3
T00034,217,3,T01479,0.95,9,2
T00034,217,4,T00255,0.95,1,0
T00034,217,5,T03261,0.95,8,2
T00034,217,6,T00338,0.7323,10,0
T00034,217,7,T00131,0.6823,5,0
T00034,217,8,T00284,0.6823,10,1
T00034,217,9,T01651,0.6823,6,2
T00034,217,10,T01107,0.6823,5,1
T00035,9,1,T03779,1.0,7,2
T00035,9,2,T01460,0.95,4,0
T00035,9,3,T02875,0.95,8,1
T00035,9,4,T00886,0.95,14,5
T00035,9,5,T02081,0.95,10,1
T00035,9,6,T00839,0.721,6,0
T00035,9,7,T01749,0.7204,14,2
T00035,9,8,T00875,0.671,7,2
T00035,9,9,T00439,0.671,5,3
T00035,9,10,T00258,0.671,12,4
T00036,10,1,T01976,1.0,6,2
T00036,10,2,T03013,0.95,3,1
T00036,10,3,T01361,0.95,4,3
T00036,10,4,T02074,0.95,6,1
T00036,10,5,T00073,0.95,6,2
T00036,10,6,T01350,0.7141,3,1
T00036,10,7,T01089,0.6641,7,0
T00036,10,8,T03569,0.6641,3,1
T00036,10,9,T02517,0.6641,3,1
T00036,10,10,T00713,0.6641,4,0
T00037,64,1,T00394,1.0,5,2
T00037,64,2,T00313,0.95,5,0
T00037,64,3,T00173,0.95,3,0
T00037,64,4,T01168,0.95,2,0
T00037,64,5,T01635,0.95,3,0
T00037,64,6,T00040,0.712,3,0
T00037,64,7,T02286,0.7022,5,1
T00037,64,8,T00507,0.662,7,2
T00037,64,9,T03292,0.662,3,1
T00037,64,10,T01509,0.662,1,0
T00038,279,1,T02510,1.0,5,1
T00038,279,2,T00811,0.95,3,0
T00038,279,3,T01229,0.95,6,2
T00038,279,4,T00064,0.95,8,0
T00038,279,5,T03958,0.95,4,1
T00038,279,6,T00088,0.7236,7,0
T00038,279,7,T03543,0.7233,4,1
T00038,279,8,T00757,0.6736,4,1
T00038,279,9,T02347,0.6736,3,1
T00038,279,10,T02742,0.6736,3,0
T00039,11,1,T00790,1.0,11,4
T00039,11,2,T03224,0.95,9,2
T00039,11,3,T00489,0.95,12,8
T00039,11,4,T00613,0.95,10,2
T00039,11,5,T02372,0.95,8,1
T00039,11,6,T00299,0.7323,7,0
T00039,11,7,T00068,0.7321,12,8
T00039,11,8,T00359,0.6823,8,2
T00039,11,9,T00831,0.6823,6,0
T00039,11,10,T00469,0.6823,9,0
T00040,739,1,T00638,1.0,3,0
T00040,739,2,T02829,0.95,2,0
T00040,739,3,T03292,0.95,3,1
T00040,739,4,T00507,0.95,7,2
T00040,739,5,T01509,0.95,1,0
T00040,739,6,T00394,0.712,5,2
T00040,739,7,T02286,0.6989,5,1
T00040,739,8,T00173,0.662,3,0
T00040,739,9,T00313,0.662,5,0
T00040,739,10,T01168,0.662,2,0
T00041,26,1,T00099,1.0,269,57
T00041,26,2,T00067,0.95,227,49
T00041,26,3,T00026,0.95,250,67
T00041,26,4,T00261,0.95,227,56
T00041,26,5,T00049,0.95,238,62
T00041,26,6,T04144,0.5364,820,183
T00041,26,7,T04035,0.4864,805,206
T00041,26,8,T04052,0.4864,892,211
T00041,26,9,T04072,0.4864,822,196
T00041,26,10,T04093,0.4864,873,209
T00042,110,1,T00709,1.0,10,3
T00042,110,2,T01021,0.95,7,4
T00042,110,3,T03725,0.95,7,1
T00042,110,4,T00801,0.95,7,0
T00042,110,5,T00322,0.95,2,1
T00042,110,6,T00426,0.7007,9,5
T00042,110,7,T00546,0.6871,7,2
T00042,110,8,T02809,0.6507,11,6
T00042,110,9,T01607,0.6507,10,3
T00042,110,10,T02670,0.6507,11,1
T00043,26,1,T00099,1.0,269,57
T00043,26,2,T00067,0.95,227,49
T00043,26,3,T00026,0.95,250,67
T00043,26,4,T00261,0.95,227,56
T00043,26,5,T00049,0.95,238,62
T00043,26,6,T04144,0.5364,820,183
T00043,26,7,T04035,0.4864,805,206
T00043,26,8,T04052,0.4864,892,211
T00043,26,9,T04072,0.4864,822,196
T00043,26,10,T04093,0.4864,873,209
T00044,151,1,T01040,1.0,8,3
T00044,151,2,T00383,0.95,8,0
T00044,151,3,T01340,0.95,3,0
T00044,151,4,T00973,0.95,8,1
T00044,151,5,T01317,0.95,6,2
T00044,151,6,T01583,0.7323,9,2
T00044,151,7,T00197,0.6823,14,3
T00044,151,8,T00199,0.6823,12,3
T00044,151,9,T02881,0.6823,4,2
T00044,151,10,T00880,0.6823,8,1
T00045,49,1,T00261,1.0,227,56
T00045,49,2,T00067,0.95,227,49
T00045,49,3,T00049,0.95,238,62
T00045,49,4,T00099,0.95,269,57
T00045,49,5,T00026,0.95,250,67
T00045,49,6,T04052,0.5364,892,211
T00045,49,7,T04072,0.4864,822,196
T00045,49,8,T04035,0.4864,805,206
T00045,49,9,T04093,0.4864,873,209
T00045,49,10,T04144,0.4864,820,183
T00046,49,1,T00261,1.0,227,56
T00046,49,2,T00067,0.95,227,49
T00046,49,3,T00049,0.95,238,62
T00046,49,4,T00099,0.95,269,57
T00046,49,5,T00026,0.95,250,67
T00046,49,6,T04052,0.5364,892,211
T00046,49,7,T04072,0.4864,822,196
T00046,49,8,T04035,0.4864,805,206
T00046,49,9,T04093,0.4864,873,209
T00046,49,10,T04144,0.4864,820,183
T00047,740,1,T01603,1.0,5,0
T00047,740,2,T00442,0.95,7,1
T00047,740,3,T03402,0.95,7,1
T00047,740,4,T02805,0.95,1,1
T00047,740,5,T02893,0.95,1,0
T00047,740,6,T00231,0.7148,2,0
T00047,740,7,T02163,0.7139,2,0
T00047,740,8,T00128,0.6648,4,0
T00047,740,9,T01351,0.6648,4,1
T00047,740,10,T01658,0.6648,1,0
T00048,169,1,T01293,1.0,12,4
T00048,169,2,T00017,0.95,7,2
T00048,169,3,T00471,0.95,10,0
T00048,169,4,T00714,0.95,9,1
T00048,169,5,T01924,0.95,13,4
T00048,169,6,T02007,0.729,9,3
T00048,169,7,T00566,0.679,14,7
T00048,169,8,T00202,0.679,8,4
T00048,169,9,T01778,0.679,8,2
T00048,169,10,T00451,0.679,7,2
T00049,12,1,T00084,1.0,238,62
T00049,12,2,T00067,0.95,227,49
T00049,12,3,T00099,0.95,269,57
T00049,12,4,T00026,0.95,250,67
T00049,12,5,T00261,0.95,227,56
T00049,12,6,T04072,0.5364,822,196
T00049,12,7,T04052,0.4864,892,211
T00049,12,8,T04035,0.4864,805,206
T00049,12,9,T04144,0.4864,820,183
T00049,12,10,T04093,0.4864,873,209
T00050,14,1,T00061,1.0,5,3
T00050,14,2,T00071,0.95,7,2
T00050,14,3,T00237,0.95,9,3
T00050,14,4,T01564,0.95,6,0
T00050,14,5,T01376,0.95,7,2
T00050,14,6,T00083,0.7029,8,1
T00050,14,7,T00454,0.6529,9,0
T00050,14,8,T01895,0.6529,9,1
T00050,14,9,T00557,0.6529,8,3
T00050,14,10,T01486,0.6529,8,3
T00051,49,1,T00261,1.0,227,56
T00051,49,2,T00067,0.95,227,49
T00051,49,3,T00049,0.95,238,62
T00051,49,4,T00099,0.95,269,57
T00051,49,5,T00026,0.95,250,67
T00051,49,6,T04052,0.5364,892,211
T00051,49,7,T04072,0.4864,822,196
T00051,49,8,T04035,0.4864,805,206
T00051,49,9,T04093,0.4864,873,209
T00051,49,10,T04144,0.4864,820,183
T00052,223,1,T01749,1.0,14,2
T00052,223,2,T00430,0.95,11,3
T00052,223,3,T00351,0.95,4,0
T00052,223,4,T01925,0.95,8,1
T00052,223,5,T00116,0.95,6,1
T00052,223,6,T00839,0.7329,6,0
T00052,223,7,T00035,0.7204,7,2
T00052,223,8,T00258,0.6829,12,4
T00052,223,9,T00875,0.6829,7,2
T00052,223,10,T01303,0.6829,14,3
T00053,202,1,T01569,1.0,12,4
T00053,202,2,T00205,0.95,13,3
T00053,202,3,T01455,0.95,14,2
T00053,202,4,T00275,0.95,4,2
T00053,202,5,T01128,0.95,7,1
T00053,202,6,T01033,0.7029,12,4
T00053,202,7,T00415,0.6529,12,1
T00053,202,8,T00907,0.6529,7,3
T00053,202,9,T01436,0.6529,9,2
T00053,202,10,T01519,0.6529,18,2
T00054,257,1,T02086,1.0,12,1
T00054,257,2,T00348,0.95,9,2
T00054,257,3,T00090,0.95,7,3
T00054,257,4,T01694,0.95,7,1
T00054,257,5,T00374,0.95,9,5
T00054,257,6,T02578,0.6994,8,1
T00054,257,7,T01082,0.6552,11,2
T00054,257,8,T00473,0.6494,10,4
T00054,257,9,T00499,0.6494,7,0
T00054,257,10,T00268,0.6494,8,2
T00055,187,1,T01475,1.0,10,1
T00055,187,2,T02803,0.95,6,1
T00055,187,3,T03141,0.95,8,1
T00055,187,4,T02601,0.95,3,1
T00055,187,5,T01445,0.95,9,1
T00055,187,6,T00665,0.6258,3,1
T00055,187,7,T03880,0.6255,7,1
T00055,187,8,T01923,0.6156,6,1
T00055,187,9,T02534,0.6052,2,0
T00055,187,10,T01492,0.5994,6,2
T00056,304,1,T02876,1.0,5,1
T00056,304,2,T00192,0.95,5,4
T00056,304,3,T00366,0.95,3,0
T00056,304,4,T01042,0.95,6,0
T00056,304,5,T00783,0.95,5,2
T00056,304,6,T00080,0.7141,2,0
T00056,304,7,T00484,0.7138,6,1
T00056,304,8,T00182,0.6641,2,0
T00056,304,9,T02471,0.6641,7,1
T00056,304,10,T01667,0.6641,9,1
T00057,105,1,T00674,1.0,4,1
T00057,105,2,T00079,0.95,2,2
T00057,105,3,T01923,0.95,6,1
T00057,105,4,T01896,0.95,2,1
T00057,105,5,T02028,0.95,7,1
T00057,105,6,T01398,0.6283,14,4
T00057,105,7,T01545,0.6201,6,2
T00057,105,8,T02352,0.6179,3,1
T00057,105,9,T03683,0.6179,5,1
T00057,105,10,T00889,0.6179,4,0
T00058,16,1,T00067,1.0,227,49
T00058,16,2,T00026,0.95,250,67
T00058,16,3,T00049,0.95,238,62
T00058,16,4,T00099,0.95,269,57
T00058,16,5,T00261,0.95,227,56
T00058,16,6,T04093,0.5364,873,209
T00058,16,7,T04052,0.4864,892,211
T00058,16,8,T04144,0.4864,820,183
T00058,16,9,T04035,0.4864,805,206
T00058,16,10,T04072,0.4864,822,196
T00059,43,1,T00206,1.0,10,3
T00059,43,2,T00077,0.95,8,3
T00059,43,3,T02622,0.95,3,1
T00059,43,4,T00650,0.95,7,1
T00059,43,5,T00224,0.95,6,2
T00059,43,6,T02053,0.6522,11,4
T00059,43,7,T00823,0.6197,11,4
T00059,43,8,T00348,0.6171,9,2
T00059,43,9,T01395,0.6099,13,2
T00059,43,10,T01455,0.6099,14,2
T00060,13,1,T03012,1.0,5,2
T00060,13,2,T03863,0.95,4,1
T00060,13,3,T00503,0.95,6,0
T00060,13,4,T00395,0.95,3,0
T00060,13,5,T01437,0.95,4,1
T00060,13,6,T00741,0.7148,4,0
T00060,13,7,T00425,0.6648,3,0
T00060,13,8,T00526,0.6648,9,4
T00060,13,9,T02390,0.6648,3,1
T00060,13,10,T01856,0.6648,4,1
T00061,14,1,T00325,1.0,5,3
T00061,14,2,T00071,0.95,7,2
T00061,14,3,T00237,0.95,9,3
T00061,14,4,T01564,0.95,6,0
T00061,14,5,T01376,0.95,7,2
T00061,14,6,T00083,0.7029,8,1
T00061,14,7,T00454,0.6529,9,0
T00061,14,8,T01895,0.6529,9,1
T00061,14,9,T00557,0.6529,8,3
T00061,14,10,T01486,0.6529,8,3
T00062,62,1,T00361,1.0,9,5
T00062,62,2,T00068,0.95,12,8
T00062,62,3,T00577,0.95,9,3
T00062,62,4,T02825,0.95,8,2
T00062,62,5,T02021,0.95,5,2
T00062,62,6,T00359,0.7321,8,2
T00062,62,7,T00489,0.7321,12,8
T00062,62,8,T03224,0.6821,9,2
T00062,62,9,T00831,0.6821,6,0
T00062,62,10,T00613,0.6821,10,2
T00063,118,1,T00763,1.0,8,3
T00063,118,2,T00263,0.95,3,0
T00063,118,3,T03449,0.95,5,1
T00063,118,4,T00347,0.95,2,0
T00063,118,5,T03499,0.95,2,0
T00063,118,6,T00173,0.6214,3,0
T00063,118,7,T03292,0.6179,3,1
T00063,118,8,T01817,0.6098,2,0
T00063,118,9,T01671,0.6079,5,3
T00063,118,10,T00120,0.5955,9,2
T00064,741,1,T01219,1.0,8,0
T00064,741,2,T00811,0.95,3,0
T00064,741,3,T03958,0.95,4,1
T00064,741,4,T02510,0.95,5,1
T00064,741,5,T01229,0.95,6,2
T00064,741,6,T00757,0.7236,4,1
T00064,741,7,T02103,0.7233,1,0
T00064,741,8,T00088,0.6736,7,0
T00064,741,9,T02347,0.6736,3,1
T00064,741,10,T02742,0.6736,3,0
T00065,15,1,T00326,1.0,13,6
T00065,15,2,T00094,0.95,9,2
T00065,15,3,T00405,0.95,12,2
T00065,15,4,T02793,0.95,7,2
T00065,15,5,T00003,0.95,8,2
T00065,15,6,T01395,0.7026,13,2
T00065,15,7,T01572,0.7026,8,1
T00065,15,8,T00647,0.6526,9,2
T00065,15,9,T01105,0.6526,7,2
T00065,15,10,T01146,0.6526,8,3
T00066,203,1,T01572,1.0,8,1
T00066,203,2,T00434,0.95,12,3
T00066,203,3,T01105,0.95,7,2
T00066,203,4,T01245,0.95,9,2
T00066,203,5,T03977,0.95,5,1
T00066,203,6,T01395,0.7029,13,2
T00066,203,7,T00065,0.7026,13,6
T00066,203,8,T01295,0.6529,12,5
T00066,203,9,T01146,0.6529,8,3
T00066,203,10,T03616,0.6529,8,1
T00067,16,1,T00074,1.0,227,49
T00067,16,2,T00026,0.95,250,67
T00067,16,3,T00049,0.95,238,62
T00067,16,4,T00099,0.95,269,57
T00067,16,5,T00261,0.95,227,56
T00067,16,6,T04093,0.5364,873,209
T00067,16,7,T04052,0.4864,892,211
T00067,16,8,T04144,0.4864,820,183
T00067,16,9,T04035,0.4864,805,206
